course_num,last_name,first_name,a_num,b_num,c_num,d_num,f_num,i_num,s_num,w_num,o_num,total_num
88835,Baker,Billy,0,0,0,0,0,0,0,0,0,0
88836,Baker,Billy,0,0,0,0,0,0,0,0,0,0
88848,Kulatunga,Ushiri,0,0,0,0,0,0,0,0,0,0
88849,Kulatunga,Ushiri,0,0,0,0,0,0,0,0,0,0
89049,Shi,Xiaodong,0,0,0,0,0,0,0,0,0,0
89168,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
89169,Lamptey,Micheal,0,0,0,0,0,0,0,0,0,0
89170,Senn,Michaela,0,0,0,0,0,0,0,0,0,0
89171,Mariscal,Alexander,0,0,0,0,0,0,0,0,0,0
89172,Thompson,Harriet,0,0,0,0,0,0,0,0,0,0
89173,Cui,Yunpeng,0,0,0,0,0,0,0,0,0,0
89174,Xing,Qingyu,0,0,0,0,0,0,0,0,0,0
89175,Weldegirma,Solomon,0,0,0,0,0,0,0,0,0,0
89176,Pan,Cong,0,0,0,0,0,0,0,0,0,0
89177,Zhang,Zhanpeng,0,0,0,0,0,0,0,0,0,0
89178,Zhang,Shuyao,0,0,0,0,0,0,0,0,0,0
89179,Leahy,James,0,0,0,0,0,0,0,0,0,0
89180,Leahy,James,0,0,0,0,0,0,0,0,0,0
89253,Orndorff,Paul,0,0,0,0,0,0,0,0,0,0
89310,Pham,Tony,0,0,0,0,0,0,0,0,0,0
89311,Agbendeh,Lubem,0,0,0,0,0,0,0,0,0,0
89312,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
89313,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
89561,Fields,Kimberly,0,0,0,0,0,0,0,0,0,0
89730,Tang,Christian,0,0,0,0,0,0,0,0,0,0
89862,Filosa,Alexander,0,0,0,0,0,0,0,0,0,0
90432,Liu,Wenqi,0,0,0,0,0,0,0,0,0,0
90738,Malik,Abdul,0,0,0,0,0,0,0,0,0,0
90739,Gelis,Ioannis,0,0,0,0,0,0,0,0,0,0
90837,McAlpin,Jacob,0,0,0,0,0,0,0,0,0,0
90838,Weldegirma,Solomon,0,0,0,0,0,0,0,0,0,0
90839,Weldegirma,Solomon,0,0,0,0,0,0,0,0,0,0
90840,Planinc,Luka,0,0,0,0,0,0,0,0,0,0
90841,Warrensford,Luke,0,0,0,0,0,0,0,0,0,0
90842,Li,Zilu,0,0,0,0,0,0,0,0,0,0
90950,Baker,Billy,0,0,0,0,0,0,0,0,0,0
90952,Lamptey,Micheal,0,0,0,0,0,0,0,0,0,0
90970,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
90971,Anderson,Laura,0,0,0,0,0,0,0,0,0,0
80025,Kusimba,Sibel,0,0,0,0,0,0,0,0,0,0
80884,Madrigal,Lorena,0,0,0,0,0,0,0,0,0,0
81127,Mahoney,Dillon,0,0,0,0,0,0,0,0,0,0
81421,Kiahtipes,Christopher,0,0,0,0,0,0,0,0,0,0
81658,Ford,Edward,0,0,0,0,0,0,0,0,0,0
81661,Kiahtipes,Christopher,0,0,0,0,0,0,0,0,0,0
81979,Hemphill-Hodges,Meya,0,0,0,0,0,0,0,0,0,0
82111,White,Nancy,0,0,0,0,0,0,0,0,0,0
82112,Bethard,Jonathan,0,0,0,0,0,0,0,0,0,0
82335,Taylor,Sarah,0,0,0,0,0,0,0,0,0,0
82669,Casper,Breanne,0,0,0,0,0,0,0,0,0,0
82670,Frasier,Tuesday,0,0,0,0,0,0,0,0,0,0
82671,Frasier,Tuesday,0,0,0,0,0,0,0,0,0,0
82867,Zarger,Rebecca,0,0,0,0,0,0,0,0,0,0
83222,Wells,Eric,0,0,0,0,0,0,0,0,0,0
83224,Himmelgreen,David,0,0,0,0,0,0,0,0,0,0
83225,Napora,John,0,0,0,0,0,0,0,0,0,0
83236,White,Nancy,0,0,0,0,0,0,0,0,0,0
83662,Hunt,Christopher,0,0,0,0,0,0,0,0,0,0
84064,Lende,Daniel,0,0,0,0,0,0,0,0,0,0
84068,Kingsley,Rachel,0,0,0,0,0,0,0,0,0,0
84069,Castaneda,Heidemarie,0,0,0,0,0,0,0,0,0,0
84070,Napora,John,0,0,0,0,0,0,0,0,0,0
84108,Casper,Breanne,0,0,0,0,0,0,0,0,0,0
85574,Miller,Elizabeth,0,0,0,0,0,0,0,0,0,0
85858,Lucas,William,0,0,0,0,0,0,0,0,0,0
85948,Napora,John,0,0,0,0,0,0,0,0,0,0
85973,Pluckhahn,Thomas,0,0,0,0,0,0,0,0,0,0
86030,Ford,Edward,0,0,0,0,0,0,0,0,0,0
86675,Taylor,Sarah,0,0,0,0,0,0,0,0,0,0
86711,Hargrave,Dan,0,0,0,0,0,0,0,0,0,0
87316,Yelvington,Kevin,0,0,0,0,0,0,0,0,0,0
87424,Napora,John,0,0,0,0,0,0,0,0,0,0
87513,Davis,Karla,0,0,0,0,0,0,0,0,0,0
87515,Ford,Edward,0,0,0,0,0,0,0,0,0,0
87947,Castaneda,Heidemarie,0,0,0,0,0,0,0,0,0,0
87954,Zarger,Rebecca,0,0,0,0,0,0,0,0,0,0
88441,Vazquez,Catherine,0,0,0,0,0,0,0,0,0,0
89827,Miller,Elizabeth,0,0,0,0,0,0,0,0,0,0
90083,Ford,Edward,0,0,0,0,0,0,0,0,0,0
90528,Mahoney,Dillon,0,0,0,0,0,0,0,0,0,0
90536,Lehigh,Gabrielle,0,0,0,0,0,0,0,0,0,0
90984,Jayaram,Kiran,0,0,0,0,0,0,0,0,0,0
91327,Kusimba,Sibel,0,0,0,0,0,0,0,0,0,0
91330,Zulla,Marcella,0,0,0,0,0,0,0,0,0,0
91331,Jayaram,Kiran,0,0,0,0,0,0,0,0,0,0
91332,Zulla,Marcella,0,0,0,0,0,0,0,0,0,0
91333,Lucas,William,0,0,0,0,0,0,0,0,0,0
91378,Bethard,Jonathan,0,0,0,0,0,0,0,0,0,0
91384,Taylor,Sarah,0,0,0,0,0,0,0,0,0,0
91392,Kiahtipes,Christopher,0,0,0,0,0,0,0,0,0,0
91830,Himmelgreen,David,0,0,0,0,0,0,0,0,0,0
92505,Zarger,Rebecca,0,0,0,0,0,0,0,0,0,0
92506,Pluckhahn,Thomas,0,0,0,0,0,0,0,0,0,0
94013,Maclean,Caroline,0,0,0,0,0,0,0,0,0,0
95407,Yelvington,Kevin,0,0,0,0,0,0,0,0,0,0
95411,Kimmerle,Erin,0,0,0,0,0,0,0,0,0,0
90311,Majumder,Koushik,0,0,0,0,0,0,0,0,0,0
90315,Varma,Sameer,0,0,0,0,0,0,0,0,0,0
90346,Felletter,John,0,0,0,0,0,0,0,0,0,0
90511,Jones-Mason,Mary,0,0,0,0,0,0,0,0,0,0
90513,Jones-Mason,Mary,0,0,0,0,0,0,0,0,0,0
90755,Blackwell,Tara,0,0,0,0,0,0,0,0,0,0
91457,Chowdhury,Fatema,0,0,0,0,0,0,0,0,0,0
91589,Pollenz,Richard,0,0,0,0,0,0,0,0,0,0
92032,Beg,Amer,0,0,0,0,0,0,0,0,0,0
92698,Burkhardt,Brant,0,0,0,0,0,0,0,0,0,0
92700,Ye,Libin,0,0,0,0,0,0,0,0,0,0
92701,Upadhyaya,Ashok,0,0,0,0,0,0,0,0,0,0
92880,Mcknight,Lily,0,0,0,0,0,0,0,0,0,0
94395,Riordan,James,0,0,0,0,0,0,0,0,0,0
94396,Jackson,Jessica,0,0,0,0,0,0,0,0,0,0
94397,Arora,Neha,0,0,0,0,0,0,0,0,0,0
94398,Arora,Neha,0,0,0,0,0,0,0,0,0,0
94599,Riordan,James,0,0,0,0,0,0,0,0,0,0
94665,Daughdrill,Gary,0,0,0,0,0,0,0,0,0,0
95783,Stevens,Stanley,0,0,0,0,0,0,0,0,0,0
95893,Shaw,Lindsey,0,0,0,0,0,0,0,0,0,0
95969,Ward,Kathryn,0,0,0,0,0,0,0,0,0,0
95971,Ward,Kathryn,0,0,0,0,0,0,0,0,0,0
96058,Avram,Dorina,0,0,0,0,0,0,0,0,0,0
96216,Te Strake,Diane,0,0,0,0,0,0,0,0,0,0
80038,Jones-Mason,Mary,0,0,0,0,0,0,0,0,0,0
80039,Jones-Mason,Mary,0,0,0,0,0,0,0,0,0,0
80040,Jones-Mason,Mary,0,0,0,0,0,0,0,0,0,0
80041,Fletcher,Justin,0,0,0,0,0,0,0,0,0,0
80045,Rao,Prashanth Ramesh,0,0,0,0,0,0,0,0,0,0
80048,Jones-Mason,Mary,0,0,0,0,0,0,0,0,0,0
80049,Jones-Mason,Mary,0,0,0,0,0,0,0,0,0,0
80050,Jones-Mason,Mary,0,0,0,0,0,0,0,0,0,0
82247,Burkhardt,Brant,0,0,0,0,0,0,0,0,0,0
82550,Rao,Prashanth Ramesh,0,0,0,0,0,0,0,0,0,0
82844,Pollenz,Richard,0,0,0,0,0,0,0,0,0,0
82845,Pollenz,Richard,0,0,0,0,0,0,0,0,0,0
82848,Riordan,James,0,0,0,0,0,0,0,0,0,0
82887,Jones-Mason,Mary,0,0,0,0,0,0,0,0,0,0
82888,Jones-Mason,Mary,0,0,0,0,0,0,0,0,0,0
83272,Rao,Prashanth Ramesh,0,0,0,0,0,0,0,0,0,0
83462,Scaffidi,Salvatore,0,0,0,0,0,0,0,0,0,0
83470,Reuther,Gary,0,0,0,0,0,0,0,0,0,0
83471,Wright,Kenneth,0,0,0,0,0,0,0,0,0,0
84027,Shaw,Lindsey,0,0,0,0,0,0,0,0,0,0
84047,Jones-Mason,Mary,0,0,0,0,0,0,0,0,0,0
84048,Jones-Mason,Mary,0,0,0,0,0,0,0,0,0,0
84614,Binning,Jennifer,0,0,0,0,0,0,0,0,0,0
84615,Koomen,John,0,0,0,0,0,0,0,0,0,0
84616,Premi,Sanjay,0,0,0,0,0,0,0,0,0,0
84617,Fedorenko,Inna,0,0,0,0,0,0,0,0,0,0
84915,Daniel,Kenyon,0,0,0,0,0,0,0,0,0,0
85423,Tirado Class,Neysha,0,0,0,0,0,0,0,0,0,0
85673,El-Rady,Johnny,0,0,0,0,0,0,0,0,0,0
86074,Tirado Class,Neysha,0,0,0,0,0,0,0,0,0,0
86075,Jones-Mason,Mary,0,0,0,0,0,0,0,0,0,0
86076,Atkinson,Celine,0,0,0,0,0,0,0,0,0,0
86372,Brazelle,William,0,0,0,0,0,0,0,0,0,0
86374,Lamabadu Warnakulasuriya,Hiran Malinda,0,0,0,0,0,0,0,0,0,0
86375,Carter,Kelli,0,0,0,0,0,0,0,0,0,0
86405,Dungrawala,Huzefa,0,0,0,0,0,0,0,0,0,0
86406,Chowdhury,Fatema,0,0,0,0,0,0,0,0,0,0
86730,Atkinson,Celine,0,0,0,0,0,0,0,0,0,0
86731,Jones-Mason,Mary,0,0,0,0,0,0,0,0,0,0
86762,Lamabadu Warnakulasuriya,Hiran Malinda,0,0,0,0,0,0,0,0,0,0
86763,Todd,English,0,0,0,0,0,0,0,0,0,0
86884,Jones-Mason,Mary,0,0,0,0,0,0,0,0,0,0
86887,Jones-Mason,Mary,0,0,0,0,0,0,0,0,0,0
86888,Jones-Mason,Mary,0,0,0,0,0,0,0,0,0,0
86904,Jones-Mason,Mary,0,0,0,0,0,0,0,0,0,0
86962,Eswara,Prahathees,0,0,0,0,0,0,0,0,0,0
87150,Chowdhury,Fatema,0,0,0,0,0,0,0,0,0,0
87209,Schmidt,Kristina,0,0,0,0,0,0,0,0,0,0
87225,Upadhyaya,Ashok,0,0,0,0,0,0,0,0,0,0
87365,Kariyawasam,Ganesha,0,0,0,0,0,0,0,0,0,0
87604,Wright,Kenneth,0,0,0,0,0,0,0,0,0,0
87775,Todd,English,0,0,0,0,0,0,0,0,0,0
88030,Gemmell,Colbi,0,0,0,0,0,0,0,0,0,0
88032,Riordan,James,0,0,0,0,0,0,0,0,0,0
88184,Eswara,Prahathees,0,0,0,0,0,0,0,0,0,0
88204,El-Rady,Johnny,0,0,0,0,0,0,0,0,0,0
88219,Coiner,Alexis,0,0,0,0,0,0,0,0,0,0
88220,Coiner,Alexis,0,0,0,0,0,0,0,0,0,0
88294,Kariyawasam,Ganesha,0,0,0,0,0,0,0,0,0,0
88397,Jones-Mason,Mary,0,0,0,0,0,0,0,0,0,0
88398,Jones-Mason,Mary,0,0,0,0,0,0,0,0,0,0
88399,Jones-Mason,Mary,0,0,0,0,0,0,0,0,0,0
88401,Scaffidi,Salvatore,0,0,0,0,0,0,0,0,0,0
88402,Lamabadu Warnakulasuriya,Hiran Malinda,0,0,0,0,0,0,0,0,0,0
88403,Todd,English,0,0,0,0,0,0,0,0,0,0
88574,Brazelle,William,0,0,0,0,0,0,0,0,0,0
88892,Riordan,James,0,0,0,0,0,0,0,0,0,0
88893,Brazelle,William,0,0,0,0,0,0,0,0,0,0
88904,Arora,Neha,0,0,0,0,0,0,0,0,0,0
88905,Arora,Neha,0,0,0,0,0,0,0,0,0,0
88906,Arora,Neha,0,0,0,0,0,0,0,0,0,0
88907,Arora,Neha,0,0,0,0,0,0,0,0,0,0
88908,Totzke,Brendan,0,0,0,0,0,0,0,0,0,0
88909,Arora,Neha,0,0,0,0,0,0,0,0,0,0
88910,Arora,Neha,0,0,0,0,0,0,0,0,0,0
88911,Arora,Neha,0,0,0,0,0,0,0,0,0,0
88912,Arora,Neha,0,0,0,0,0,0,0,0,0,0
88913,Arora,Neha,0,0,0,0,0,0,0,0,0,0
88914,Arora,Neha,0,0,0,0,0,0,0,0,0,0
88915,Arora,Neha,0,0,0,0,0,0,0,0,0,0
88916,Totzke,Brendan,0,0,0,0,0,0,0,0,0,0
88917,Arora,Neha,0,0,0,0,0,0,0,0,0,0
88918,Arora,Neha,0,0,0,0,0,0,0,0,0,0
88919,Arora,Neha,0,0,0,0,0,0,0,0,0,0
88943,Blackwell,Tara,0,0,0,0,0,0,0,0,0,0
89164,El-Rady,Johnny,0,0,0,0,0,0,0,0,0,0
89281,Westerheide,Sandra,0,0,0,0,0,0,0,0,0,0
89284,Dao,My-Lien,0,0,0,0,0,0,0,0,0,0
89285,Upadhyaya,Ashok,0,0,0,0,0,0,0,0,0,0
89607,Arora,Neha,0,0,0,0,0,0,0,0,0,0
89609,Wan,Lixin,0,0,0,0,0,0,0,0,0,0
89853,Felletter,John,0,0,0,0,0,0,0,0,0,0
90207,Chowdhury,Fatema,0,0,0,0,0,0,0,0,0,0
90276,Burkhardt,Brant,0,0,0,0,0,0,0,0,0,0
90277,Gemmell,Colbi,0,0,0,0,0,0,0,0,0,0
90278,Mcfarland,Aidan,0,0,0,0,0,0,0,0,0,0
90279,Mcfarland,Aidan,0,0,0,0,0,0,0,0,0,0
90280,Melendez,Julian,0,0,0,0,0,0,0,0,0,0
90281,Saunders,Matthew,0,0,0,0,0,0,0,0,0,0
90282,Washburn,Rachel,0,0,0,0,0,0,0,0,0,0
90283,Lo,En Lin,0,0,0,0,0,0,0,0,0,0
90284,Glass,Michael,0,0,0,0,0,0,0,0,0,0
90285,Wilches,Milton,0,0,0,0,0,0,0,0,0,0
90286,Lo,En Lin,0,0,0,0,0,0,0,0,0,0
90287,Melendez,Julian,0,0,0,0,0,0,0,0,0,0
90288,Hough,Abigail,0,0,0,0,0,0,0,0,0,0
90289,Sheppard,Hannah,0,0,0,0,0,0,0,0,0,0
90290,Mokorel-Pouye,Alexandre,0,0,0,0,0,0,0,0,0,0
90291,Glass,Michael,0,0,0,0,0,0,0,0,0,0
90292,Nelligan,Anthony,0,0,0,0,0,0,0,0,0,0
90293,White,Justin,0,0,0,0,0,0,0,0,0,0
90294,Walker,Stephanie,0,0,0,0,0,0,0,0,0,0
90295,Dayhoff,Guy,0,0,0,0,0,0,0,0,0,0
90296,Wilches,Milton,0,0,0,0,0,0,0,0,0,0
90297,Schumacher,Julia,0,0,0,0,0,0,0,0,0,0
90298,Nelligan,Anthony,0,0,0,0,0,0,0,0,0,0
90299,Sheppard,Hannah,0,0,0,0,0,0,0,0,0,0
90300,Mcknight,Lily,0,0,0,0,0,0,0,0,0,0
90301,Mokorel-Pouye,Alexandre,0,0,0,0,0,0,0,0,0,0
90302,White,Justin,0,0,0,0,0,0,0,0,0,0
90303,Pollenz,Richard,0,0,0,0,0,0,0,0,0,0
90304,Pollenz,Richard,0,0,0,0,0,0,0,0,0,0
90305,Saunders,Matthew,0,0,0,0,0,0,0,0,0,0
90306,Hough,Abigail,0,0,0,0,0,0,0,0,0,0
90307,Walker,Stephanie,0,0,0,0,0,0,0,0,0,0
90308,Majumder,Koushik,0,0,0,0,0,0,0,0,0,0
90309,Washburn,Rachel,0,0,0,0,0,0,0,0,0,0
90310,Schumacher,Julia,0,0,0,0,0,0,0,0,0,0
